Date/Heure,Client,Balance Type,Item Name,Amount
2025-04-29 03:53:33,symcom_20250401,matrix_balance,,-7046
2025-04-29 03:56:45,symcom_20250401,matrix_balance,,-7046
2025-04-29 15:19:32,symcom_20250401,matrix_balance,,-2520
2025-04-29 15:31:03,symcom_20250401,matrix_balance,,-2520
2025-04-30 14:40:44,symcom_20250401,matrix_balance,,-9786
2025-04-30 15:27:09,symcom_20250401,matrix_balance,,-9786
2025-04-30 15:41:25,symcom_20250401,matrix_balance,,-9786
2025-04-30 15:54:02,symcom_20250401,matrix_balance,,-9786
2025-04-30 16:02:12,symcom_20250401,matrix_balance,,-441
2025-04-30 16:03:13,symcom_20250401,matrix_balance,,-441
2025-04-30 16:04:28,symcom_20250401,matrix_balance,,-6925
2025-04-30 16:29:54,symcom_20250401,matrix_balance,,-441
2025-04-30 16:58:03,symcom_20250401,matrix_balance,,-441
2025-04-30 16:59:31,symcom_20250401,matrix_balance,,-441
2025-04-30 17:11:34,symcom_20250401,matrix_balance,,-441
2025-05-01 17:28:48,symcom_20250401,matrix_balance,,-6956
2025-05-08 01:16:40,symcom_20250401,matrix_balance,,-62
2025-05-08 01:20:25,symcom_20250401,matrix_balance,,-62
2025-05-08 01:33:19,symcom_20250401,matrix_balance,,-441
2025-05-08 01:46:29,symcom_20250401,matrix_balance,,-62
2025-05-08 03:05:07,symcom_20250401,matrix_balance,,-3276
2025-05-08 03:31:06,symcom_20250401,matrix_balance,,-3276
2025-05-08 03:55:46,symcom_20250401,matrix_balance,,-3276
2025-05-08 12:47:35,symcom_20250401,matrix_balance,,-9369
2025-05-08 14:16:43,symcom_20250401,matrix_balance,,-9369
2025-05-08 14:31:30,symcom_20250401,matrix_balance,,-9369
2025-05-08 14:53:41,symcom_20250401,matrix_balance,,-9369
2025-05-08 15:12:17,symcom_20250401,matrix_balance,,-9369
2025-05-09 01:28:48,symcom_20250401,matrix_balance,,-3276
2025-05-09 01:39:53,symcom_20250401,matrix_balance,,-3276
2025-05-09 18:53:39,symcom_20250401,matrix_balance,,-3276
2025-05-09 18:56:31,symcom_20250401,matrix_balance,,-3276
2025-05-09 18:58:12,symcom_20250401,matrix_balance,,-3276
2025-05-09 19:00:55,symcom_20250401,matrix_balance,,-3276
2025-05-09 19:24:27,symcom_20250401,matrix_balance,,-3276
2025-05-09 19:25:55,symcom_20250401,matrix_balance,,-3276
2025-05-09 19:35:48,symcom_20250401,matrix_balance,,-3276
2025-05-09 19:58:07,symcom_20250401,matrix_balance,,-3276
2025-05-09 20:01:07,symcom_20250401,matrix_balance,,-3276
2025-05-10 18:24:33,symcom_20250401,matrix_balance,,-3276
2025-05-10 18:27:11,symcom_20250401,matrix_balance,,-3276
2025-05-10 18:30:06,symcom_20250401,matrix_balance,,-3276
2025-05-12 02:46:28,symcom_20250401,matrix_balance,,-3276
2025-05-12 02:48:42,symcom_20250401,matrix_balance,,-3276
2025-05-12 02:49:25,symcom_20250401,matrix_balance,,-3276
2025-05-13 15:51:57,symcom_20250401,matrix_balance,,-4502
2025-05-13 15:57:33,symcom_20250401,matrix_balance,,-4502
2025-05-13 16:24:23,symcom_20250401,matrix_balance,,-4502
2025-05-13 18:48:39,symcom_20250401,matrix_balance,,-4502
2025-05-14 15:50:52,symcom_20250401,matrix_balance,,-8314
2025-05-16 15:23:35,symcom_20250401,matrix_balance,,-6828
2025-05-19 01:06:26,symcom_20250401,matrix_balance,,-3276
2025-05-19 03:30:47,symcom_20250401,matrix_balance,,-3276
2025-05-19 03:41:22,symcom_20250401,matrix_balance,,-3276
2025-05-19 03:44:45,symcom_20250401,matrix_balance,,-3276
2025-05-19 03:52:21,symcom_20250401,matrix_balance,,-3276
2025-05-19 18:05:22,symcom_20250401,matrix_balance,,-3276
2025-05-19 18:25:28,symcom_20250401,matrix_balance,,-3276
2025-05-19 19:25:19,symcom_20250401,matrix_balance,,0
2025-05-19 19:25:37,symcom_20250401,matrix_balance,,-3276
2025-05-20 00:48:46,symcom_20250401,matrix_balance,,-3276
2025-05-20 01:38:08,symcom_20250401,matrix_balance,,-3276
2025-05-20 01:52:48,symcom_20250401,matrix_balance,,-3276
2025-05-20 01:54:34,symcom_20250401,matrix_balance,,-3276
2025-05-20 01:57:09,symcom_20250401,matrix_balance,,-3276
2025-05-20 02:14:20,symcom_20250401,matrix_balance,,-3276
2025-05-20 02:18:44,symcom_20250401,matrix_balance,,-3276
2025-05-20 02:46:21,symcom_20250401,matrix_balance,,-3276
2025-05-20 02:53:28,symcom_20250401,matrix_balance,,-3276
2025-05-20 02:54:45,symcom_20250401,matrix_balance,,-3276
2025-05-20 02:56:26,symcom_20250401,matrix_balance,,-3276
2025-05-20 03:09:09,symcom_20250401,matrix_balance,,-3276
2025-05-21 13:12:06,symcom_20250401,matrix_balance,,-3077
2025-05-21 16:59:20,symcom_20250401,matrix_balance,,-3276
2025-05-21 17:00:12,symcom_20250401,matrix_balance,,-3276
2025-05-21 17:03:27,symcom_20250401,matrix_balance,,0
2025-05-21 17:03:41,symcom_20250401,matrix_balance,,-3276
2025-05-21 17:06:26,symcom_20250401,matrix_balance,,-4069
2025-05-21 17:17:13,symcom_20250401,matrix_balance,,-3276
2025-05-21 18:23:49,symcom_20250401,matrix_balance,,-3276
2025-05-21 19:37:20,symcom_20250401,matrix_balance,,-3276
2025-05-22 01:19:17,symcom_20250401,matrix_balance,,-3276
2025-05-22 01:21:02,symcom_20250401,matrix_balance,,-3276
2025-05-22 01:23:14,symcom_20250401,matrix_balance,,-4069
2025-05-22 01:30:05,symcom_20250401,matrix_balance,,-3276
2025-05-22 01:34:40,symcom_20250401,matrix_balance,,-3276
2025-05-22 01:46:34,symcom_20250401,matrix_balance,,-3276
2025-05-22 18:37:11,symcom_20250401,matrix_balance,,-3077
2025-05-22 18:46:40,symcom_20250401,matrix_balance,,-3077
2025-05-22 20:42:08,symcom_20250401,matrix_balance,,-8212
2025-05-23 01:04:55,symcom_20250401,matrix_balance,,-3276
2025-05-23 01:17:12,symcom_20250401,matrix_balance,,-3276
2025-05-23 01:36:29,symcom_20250401,matrix_balance,,-3276
2025-05-23 03:12:04,symcom_20250401,matrix_balance,,-3276
2025-05-23 03:13:53,symcom_20250401,matrix_balance,,-3276
2025-05-23 03:20:57,symcom_20250401,matrix_balance,,-3276
2025-05-23 03:24:57,symcom_20250401,matrix_balance,,-3276
2025-05-23 03:35:21,symcom_20250401,matrix_balance,,-3276
2025-05-23 03:40:04,symcom_20250401,matrix_balance,,-3276
2025-05-23 03:48:33,symcom_20250401,matrix_balance,,-3276
2025-05-23 14:08:35,symcom_20250401,weighter_balance,,-14
2025-05-23 14:08:52,symcom_20250401,weighter_balance,,-18
2025-05-23 14:09:06,symcom_20250401,weighter_balance,,-27
2025-05-23 15:23:13,symcom_20250401,weighter_balance,,-14
2025-05-23 15:23:26,symcom_20250401,weighter_balance,,-18
2025-05-23 15:23:36,symcom_20250401,weighter_balance,,-27
2025-05-25 03:12:30,symcom_20250401,matrix_balance,,-3276
2025-05-25 04:32:11,symcom_20250401,matrix_balance,,-3276
2025-05-26 02:05:59,symcom_20250401,matrix_balance,,-3276
2025-05-26 02:15:49,symcom_20250401,matrix_balance,,-3276
2025-05-26 03:00:39,symcom_20250401,matrix_balance,,-3276
2025-05-26 04:34:31,symcom_20250401,matrix_balance,,-3276
2025-05-26 13:36:06,symcom_20250401,matrix_balance,,-1501
2025-05-26 15:38:44,symcom_20250401,weighter_balance,,-4
2025-05-26 15:38:47,symcom_20250401,weighter_balance,,-15
2025-05-26 15:38:49,symcom_20250401,weighter_balance,,-16
2025-05-26 15:38:57,symcom_20250401,weighter_balance,,-7
2025-05-26 15:39:06,symcom_20250401,weighter_balance,,-9
2025-05-26 15:39:10,symcom_20250401,weighter_balance,,-10
